Datetime,Tweet Id,Text,location,Media,TweetUrl,Hashtags,Retweets Counts,Like Counts,clean_text,clean_text1
2022-01-14 03:29:27,1481830794817523713,"@Keyurr_ @DrMeet_Ghonia @GIDA_Official @IMAIndiaOrg @HqsMsn @ShankulDwivedi @PMOIndia 55% medical colleges, not jus… https://t.co/axDs38NB8I",,[],https://twitter.com/user/status/1481830794817523713,Doctor Protest,3,4,   ghonia  official 55  medical colleges  not jus...,ghonia offici 55 medic colleg jus
2022-01-14 03:07:26,1481825255748673536,"@entropied @Indian__doctor 55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!… https://t.co/uQIecqdEXL",,[],https://twitter.com/user/status/1481825255748673536,Doctor Protest,3,3, doctor 55  medical colleges  not just seats  r reserved based on capitation no protest ever ...,doctor 55 medic colleg seat r reserv base capit protest ever
2022-01-14 03:01:50,1481823845590142985,"@entropied @Indian__doctor 55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!… https://t.co/HesWOybfIJ",,[],https://twitter.com/user/status/1481823845590142985,Doctor Protest,2,2, doctor 55  medical colleges  not just seats  r reserved based on capitation no protest ever ...,doctor 55 medic colleg seat r reserv base capit protest ever
2022-01-14 03:01:21,1481823725737877505,"55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

ASSOCIATIONS funded by them… https://t.co/DwmyxN12yi",,[],https://twitter.com/user/status/1481823725737877505,Doctor Protest,3,3,55  medical colleges  not just seats  r reserved based on capitation no protest ever  associations funded by them...,55 medic colleg seat r reserv base capit protest ever associ fund
2022-01-14 03:01:04,1481823651553251332,"@agindiaofficial 55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

ASSOCIATIO… https://t.co/mziHsJhfiO",,[],https://twitter.com/user/status/1481823651553251332,Doctor Protest,2,3,55  medical colleges  not just seats  r reserved based on capitation no protest ever  associatio...,55 medic colleg seat r reserv base capit protest ever associatio
2022-01-14 02:19:33,1481813204980609024,"55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

ASSOCIATIONS funded by them… https://t.co/RMMQ0tUCPi",,[],https://twitter.com/user/status/1481813204980609024,Doctor Protest,3,3,55  medical colleges  not just seats  r reserved based on capitation no protest ever  associations funded by them...,55 medic colleg seat r reserv base capit protest ever associ fund
2022-01-14 02:19:16,1481813133048320001,"@Medical_Nomad_ 55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

ASSOCIATION… https://t.co/rx83185Bmd",,[],https://twitter.com/user/status/1481813133048320001,Doctor Protest,2,2, nomad  55  medical colleges  not just seats  r reserved based on capitation no protest ever  association...,nomad 55 medic colleg seat r reserv base capit protest ever associ
2022-01-14 00:55:45,1481792116606996480,Every doctor in America needs to sign a statement of protest to the abhorrent decision they made today advocating f… https://t.co/SW5V2f6OuH,,[],https://twitter.com/user/status/1481792116606996480,Doctor Protest,2,4,every doctor in america needs to sign a statement of protest to the abhorrent decision they made today advocating f...,everi doctor america need sign statement protest abhorr decis made today advoc f
2022-01-13 21:11:54,1481735783467741184,"Doctor Cat is the most attentive care creature. Despite her human being a T Rex, she still insists on receiving non… https://t.co/Gs5KCauYT9","Vancouver, BC",[],https://twitter.com/user/status/1481735783467741184,Doctor Protest,0,24,doctor cat is the most attentive care creature  despite her human being a t rex  she still insists on receiving non...,doctor cat attent care creatur despit human rex still insist receiv non
2022-01-13 18:45:38,1481698972955721731,@AishaYesufu @aproko_doctor Abi oloriburuku ni Gbogbo yin che we dey among people wey dey shout #EndSARS for where… https://t.co/OytoyKPyRW,"Manhattan, NY",[],https://twitter.com/user/status/1481698972955721731,Doctor Protest,0,0, doctor abi oloriburuku ni gbogbo yin che we dey among people wey dey shout  endsars for where...,doctor abi oloriburuku ni gbogbo yin che dey among peopl wey dey shout endsar
2022-01-13 15:12:55,1481645442274570240,"55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

ASSOCIATIONS funded by them… https://t.co/teOcDccLkD",,[],https://twitter.com/user/status/1481645442274570240,Doctor Protest,3,3,55  medical colleges  not just seats  r reserved based on capitation no protest ever  associations funded by them...,55 medic colleg seat r reserv base capit protest ever associ fund
2022-01-13 15:12:22,1481645301341765632,@dentodontics @Indian__doctor @sushant_says @ANI @FordaIndia @FAIMA_INDIA_ @Neurochauhan @DrMeet_Ghonia @MeritUnity… https://t.co/sefwE4bIcu,,[],https://twitter.com/user/status/1481645301341765632,Doctor Protest,2,2, doctor  says  india   ghonia ...,doctor say india ghonia
2022-01-13 13:40:19,1481622138318733313,"@marcorubio If you think 1/6 was a peaceful protest by patriotic citizens, please see a doctor.","Tampa, FL",[],https://twitter.com/user/status/1481622138318733313,Doctor Protest,0,25,if you think 1 6 was a peaceful protest by patriotic citizens  please see a doctor ,think 1 6 peac protest patriot citizen pleas see doctor
2022-01-13 13:18:38,1481616679608229890,@DrOlufunmilayo Welcome back Traditional Doctor aka The 30 days protest on the street for UN to take over man,,[],https://twitter.com/user/status/1481616679608229890,Doctor Protest,0,0,welcome back traditional doctor aka the 30 days protest on the street for un to take over man,welcom back tradit doctor aka 30 day protest street un take man
2022-01-13 11:33:08,1481590129617940483,"@neotrad3 55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

ASSOCIATIONS fund… https://t.co/OS0y8NuGob",,[],https://twitter.com/user/status/1481590129617940483,Doctor Protest,1,1,55  medical colleges  not just seats  r reserved based on capitation no protest ever  associations fund...,55 medic colleg seat r reserv base capit protest ever associ fund
2022-01-13 08:46:28,1481548187559407618,@DrAditya2935 Ever seen doctors protest to increase intern &amp; resident seats in such overloaded institutes so that t… https://t.co/QZwiOXJrvd,,[],https://twitter.com/user/status/1481548187559407618,Doctor Protest,3,4,ever seen doctors protest to increase intern  amp  resident seats in such overloaded institutes so that t...,ever seen doctor protest increas intern amp resid seat overload institut
2022-01-13 07:36:58,1481530696388980738,"55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

ASSOCIATIONS funded by them… https://t.co/ndDEFTCO8Q",,[],https://twitter.com/user/status/1481530696388980738,Doctor Protest,3,3,55  medical colleges  not just seats  r reserved based on capitation no protest ever  associations funded by them...,55 medic colleg seat r reserv base capit protest ever associ fund
2022-01-13 07:36:46,1481530648490029056,"@TheIndianDr @Drsuryadnb 55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

AS… https://t.co/kaHoNB4SxV",,[],https://twitter.com/user/status/1481530648490029056,Doctor Protest,1,2,55  medical colleges  not just seats  r reserved based on capitation no protest ever  as...,55 medic colleg seat r reserv base capit protest ever
2022-01-13 07:29:23,1481528789083766784,"55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

ASSOCIATIONS funded by them… https://t.co/at24zp3gSf",,[],https://twitter.com/user/status/1481528789083766784,Doctor Protest,2,2,55  medical colleges  not just seats  r reserved based on capitation no protest ever  associations funded by them...,55 medic colleg seat r reserv base capit protest ever associ fund
2022-01-13 07:28:56,1481528676835799043,"@UP72_Abhishek @sudhaShenoy1 55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!… https://t.co/bcE1VMwOJh",,[],https://twitter.com/user/status/1481528676835799043,Doctor Protest,2,3, abhishek 55  medical colleges  not just seats  r reserved based on capitation no protest ever ...,abhishek 55 medic colleg seat r reserv base capit protest ever
2022-01-13 06:48:49,1481518579476746244,"55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

ASSOCIATIONS funded by them… https://t.co/ZLgCePbdU0",,[],https://twitter.com/user/status/1481518579476746244,Doctor Protest,3,3,55  medical colleges  not just seats  r reserved based on capitation no protest ever  associations funded by them...,55 medic colleg seat r reserv base capit protest ever associ fund
2022-01-13 06:48:36,1481518527760986113,@drsuhask @narendramodi @AmitShah @PawarSpeaks @AshokChavanINC @YuvrajSambhaji @AjitPawarSpeaks @OfficeofUT… https://t.co/50yAI967Oh,,[],https://twitter.com/user/status/1481518527760986113,Doctor Protest,2,2,...,
2022-01-13 06:46:28,1481517987907915781,"Poor maths
Its already 16%!

65% of 45% seats=29%
+
55% RESERVATION based on CAPITATION
=84%

ASSOCIATIONS never pr… https://t.co/dcPPqZuNht",,[],https://twitter.com/user/status/1481517987907915781,Doctor Protest,3,3,poor maths its already 16  65  of 45  seats 29    55  reservation based on capitation  84  associations never pr...,poor math alreadi 16 65 45 seat 29 55 reserv base capit 84 associ never pr
2022-01-13 06:44:40,1481517536852459526,"@DNeurosx Ur maths is wrong.

Its already 16%!
65% of 45% seats=29%
+
55% RESERVATION based on CAPITATION
=84%

ASS… https://t.co/dCYSkZjn5U",,[],https://twitter.com/user/status/1481517536852459526,Doctor Protest,2,2,ur maths is wrong  its already 16  65  of 45  seats 29    55  reservation based on capitation  84  ass...,ur math wrong alreadi 16 65 45 seat 29 55 reserv base capit 84 ass
2022-01-13 04:56:56,1481490425131454464,"@swatifederer 55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

ASSOCIATIONS… https://t.co/YkyrFQ1PlM",,[],https://twitter.com/user/status/1481490425131454464,Doctor Protest,0,0,55  medical colleges  not just seats  r reserved based on capitation no protest ever  associations...,55 medic colleg seat r reserv base capit protest ever associ
2022-01-13 03:55:40,1481475005573746692,@doctor_oxford It's so they can pass legislation that severely restricts right to protest etc... they are getting a… https://t.co/lCyuHwewEU,,[],https://twitter.com/user/status/1481475005573746692,Doctor Protest,0,0, oxford it s so they can pass legislation that severely restricts right to protest etc  they are getting a...,oxford pass legisl sever restrict right protest etc get
2022-01-13 03:49:22,1481473420542234629,"@HaryaxPathak What about products of CAPITATION?
55% medical colleges, not just seats, r reserved for them

No prot… https://t.co/8IginoT9p1",,[],https://twitter.com/user/status/1481473420542234629,Doctor Protest,3,2,what about products of capitation  55  medical colleges  not just seats  r reserved for them no prot...,product capit 55 medic colleg seat r reserv prot
2022-01-13 03:32:10,1481469093203288071,"55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

ASSOCIATIONS funded by them… https://t.co/Rx4NWeajPr",,[],https://twitter.com/user/status/1481469093203288071,Doctor Protest,3,3,55  medical colleges  not just seats  r reserved based on capitation no protest ever  associations funded by them...,55 medic colleg seat r reserv base capit protest ever associ fund
2022-01-13 03:31:28,1481468916367073280,"@Dr_House__MD 55% medical colleges, not just seats, r reserved BASED ON CAPITATION

No protest ever!

ASSOCIATIONS… https://t.co/QFdIKpjyMM",,[],https://twitter.com/user/status/1481468916367073280,Doctor Protest,2,2, house md 55  medical colleges  not just seats  r reserved based on capitation no protest ever  associations...,hous md 55 medic colleg seat r reserv base capit protest ever associ
2022-01-13 03:18:56,1481465760560328705,Ever seen doctors protest to increase intern &amp; resident seats in such overloaded institutes so that they can work i… https://t.co/6ZVwbMsSCM,,[],https://twitter.com/user/status/1481465760560328705,Doctor Protest,1,1,ever seen doctors protest to increase intern  amp  resident seats in such overloaded institutes so that they can work i...,ever seen doctor protest increas intern amp resid seat overload institut work
2022-01-13 03:18:00,1481465525465399304,@DrSaurav5 Ever seen doctors protest to increase intern &amp; resident seats in such overloaded institutes so that they… https://t.co/jAYObrrcQx,,[],https://twitter.com/user/status/1481465525465399304,Doctor Protest,2,2,ever seen doctors protest to increase intern  amp  resident seats in such overloaded institutes so that they...,ever seen doctor protest increas intern amp resid seat overload institut
